,Player,Nation,Pos,Squad,Age,90s_played,TotalAtt_Pass,TotalComp_Passes,Pass_Blocked,Live_Passes,Dead_Passes,Switches_Pass,Cross_Passes
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,26.4,797,592,27,711,85,2,72
1,George Abbott,eng ENG,MF,Tottenham,16,0.0,1,1,0,1,0,0,0
2,Che Adams,sct SCO,FW,Southampton,26,22.1,498,330,17,490,7,7,12
3,Tyler Adams,us USA,MF,Leeds United,23,24.0,1343,1108,24,1271,72,2,2
4,Tosin Adarabioyo,eng ENG,DF,Fulham,24,23.2,1300,1066,10,1235,58,12,2
5,Nayef Aguerd,ma MAR,DF,West Ham,26,17.7,763,599,5,723,36,21,0
6,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,1.0,46,37,0,45,1,0,2
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21,12.0,578,470,18,487,89,2,21
8,Kristoffer Ajer,no NOR,DF,Brentford,24,8.5,345,259,8,293,51,4,6
9,Manuel Akanji,ch SUI,DF,Manchester City,27,25.4,2056,1912,8,1999,55,8,6
10,Nathan Aké,nl NED,DF,Manchester City,27,20.8,1813,1639,26,1685,126,6,15
11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,2.6,148,89,10,130,17,0,28
12,Thiago Alcántara,es ESP,MF,Liverpool,31,13.9,1097,946,22,1063,31,15,3
13,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,11.4,290,222,10,279,9,4,4
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,32.5,2912,2188,37,2393,509,59,252
15,Alisson,br BRA,GK,Liverpool,29,37.0,1453,1241,1,1199,250,2,0
16,Dele Alli,eng ENG,MF,Everton,26,0.4,15,12,0,13,2,0,0
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28,27.7,982,811,29,946,30,4,26
18,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,16.3,503,395,17,478,21,3,26
19,Daniel Amartey,gh GHA,DF,Leicester City,27,17.9,1114,1015,2,1092,20,2,0
20,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,0.0,6,5,0,6,0,0,0
21,Joachim Andersen,dk DEN,DF,Crystal Palace,26,30.9,1972,1561,13,1840,123,44,10
22,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,4.6,198,150,10,193,3,0,9
23,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,14.0,526,387,18,480,45,5,43
24,Michail Antonio,jm JAM,FW,West Ham,32,20.3,348,186,18,335,12,1,35
25,Antony,br BRA,FW,Manchester Utd,22,20.0,819,651,29,804,15,2,32
26,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,0.5,12,8,1,11,1,0,1
27,Alphonse Areola,fr FRA,GK,West Ham,29,3.4,92,67,0,59,32,0,0
28,Joe Aribo,ng NGA,"MF,FW",Southampton,26,13.6,385,280,16,376,9,0,8
29,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,14.8,302,220,21,267,35,4,14
30,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,15.6,676,531,24,634,40,3,37
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,28.5,1046,871,1,805,241,3,0
32,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,6.2,111,82,5,101,10,0,3
33,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,0.9,43,26,0,34,9,0,5
34,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,21.6,943,667,28,758,183,0,40
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,15.6,223,143,9,220,3,1,3
36,Yasin Ayari,se SWE,MF,Brighton,18,0.7,23,20,0,22,0,0,0
37,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,3.5,73,53,0,68,5,0,1
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,30.2,875,676,34,860,13,1,43
39,Luke Ayling,eng ENG,DF,Leeds United,30,22.8,1132,786,46,912,212,11,62
40,César Azpilicueta,es ESP,DF,Chelsea,32,17.0,1065,872,14,893,169,0,26
41,Benoît Badiashile,fr FRA,DF,Chelsea,21,10.1,860,769,4,840,19,6,2
42,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,21.9,547,337,31,507,40,5,96
43,Stefan Bajcetic,es ESP,MF,Liverpool,17,5.8,258,200,6,255,3,3,5
44,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,0.3,7,5,0,5,2,0,0
45,Patrick Bamford,eng ENG,FW,Leeds United,28,16.8,333,229,10,294,38,0,5
46,Shandon Baptiste,gd GRN,MF,Brentford,24,6.9,295,247,7,287,6,0,11
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,30.1,786,549,31,769,10,1,44
48,Gavin Bazunu,ie IRL,GK,Southampton,20,32.0,1178,718,0,847,325,1,0
49,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,0.2,11,7,0,7,4,0,0
50,Jan Bednarek,pl POL,DF,Southampton,26,18.6,902,753,8,849,52,3,1
51,Jan Bednarek,pl POL,DF,Aston Villa,26,1.1,66,60,1,64,2,0,0
52,Donny van de Beek,nl NED,MF,Manchester Utd,25,1.9,61,46,4,56,3,0,0
53,Asmir Begović,ba BIH,GK,Everton,35,1.0,30,21,0,21,9,0,0
54,Armel Bella Kotchap,de GER,DF,Southampton,20,20.9,937,749,12,908,28,9,4
55,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,23.0,796,597,29,771,20,2,83
56,Rodrigo Bentancur,uy URU,MF,Tottenham,25,16.7,880,738,19,852,25,3,16
57,Daniel Bentley,eng ENG,GK,Wolves,29,2.0,80,61,0,52,28,0,0
58,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,9.9,496,327,16,376,117,0,29
59,Owen Bevan,wls WAL,DF,Bournemouth,18,0.1,3,2,1,3,0,0,0
60,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,0.2,21,15,0,19,2,0,1
61,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,30.7,1055,813,32,1009,43,10,38
62,Yves Bissouma,ml MLI,MF,Tottenham,25,11.2,733,666,12,714,16,5,2
63,Willy Boly,ci CIV,DF,Nott'ham Forest,31,7.6,258,194,3,254,4,0,0
64,Sven Botman,nl NED,DF,Newcastle Utd,22,34.7,1765,1527,7,1717,42,30,1
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,35.9,881,552,58,768,109,4,159
66,James Bree,eng ENG,DF,Southampton,24,4.1,178,133,4,150,28,1,13
67,Armando Broja,al ALB,FW,Chelsea,20,3.3,53,33,0,51,2,1,0
68,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1.9,63,46,3,61,2,0,6
69,Lewis Brunt,eng ENG,DF,Leicester City,21,0.3,21,17,1,16,5,0,0
70,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,26.8,1020,787,38,954,63,7,18
71,Hugo Bueno,es ESP,DF,Wolves,19,14.6,679,547,21,536,140,0,60
72,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,6.3,194,157,5,190,4,1,7
73,Dan Burn,eng ENG,DF,Newcastle Utd,30,34.6,1715,1361,29,1437,275,7,17
74,Cafú,pt POR,MF,Nott'ham Forest,29,0.1,2,2,0,2,0,0,0
75,Moisés Caicedo,ec ECU,MF,Brighton,20,34.9,2251,1993,38,2214,37,9,17
76,Tom Cairney,sct SCO,MF,Fulham,31,11.0,750,632,13,715,33,4,37
77,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,10.5,568,480,1,542,22,3,1
78,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,12.9,221,131,9,220,1,1,6
79,Chem Campbell,wls WAL,"FW,MF",Wolves,19,0.8,32,23,1,31,1,0,4
80,João Cancelo,pt POR,DF,Manchester City,28,14.2,1220,1036,15,1120,98,14,45
81,Thomas Cannon,ie IRL,FW,Everton,19,0.3,5,4,0,4,1,0,0
82,Sergi Canós,es ESP,"FW,DF",Brentford,25,0.9,43,23,0,39,3,0,3
83,Diego Carlos,br BRA,DF,Aston Villa,29,2.3,142,112,1,136,5,1,1
84,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,3.9,143,117,3,140,2,0,2
85,Casemiro,br BRA,MF,Manchester Utd,30,23.6,1439,1114,29,1408,24,13,19
86,Matty Cash,pl POL,DF,Aston Villa,24,20.2,1006,777,24,809,194,6,46
87,Timothy Castagne,be BEL,DF,Leicester City,26,36.2,1836,1470,43,1545,287,2,58
88,Jonny Castro,es ESP,DF,Wolves,28,14.0,832,701,23,698,132,1,18
