,Player,Nation,Pos,Squad,Age,90s_played,Goals,Tot_Shot,Shot_On_Target,Shot_Target_Rate,TotalShotPer90,ShotTargetPer90,Goal/TotShot,Goal/ShotTarget,Penalty,Att_Penalty,xG,NoPen_xG,NoPen_xGperShot,Goal-xG,NoPen_Goal-xG
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,0,0,3.9,3.9,0.09,-2.9,-2.9
1,George Abbott,eng ENG,MF,Tottenham,16,0.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
2,Che Adams,sct SCO,FW,Southampton,26,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,0,0,6.6,6.6,0.14,-1.6,-1.6
3,Tyler Adams,us USA,MF,Leeds United,23,24.0,0,4,0,0.0,0.17,0.00,0.00,,0,0,0.1,0.1,0.03,-0.1,-0.1
4,Tosin Adarabioyo,eng ENG,DF,Fulham,24,23.2,1,16,4,25.0,0.69,0.17,0.06,0.25,0,0,0.7,0.7,0.04,+0.3,+0.3
5,Nayef Aguerd,ma MAR,DF,West Ham,26,17.7,2,12,2,16.7,0.68,0.11,0.17,1.00,0,0,2.2,2.2,0.19,-0.2,-0.2
6,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,1.0,0,3,0,0.0,2.87,0.00,0.00,,0,0,0.2,0.2,0.05,-0.2,-0.2
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21,12.0,1,10,5,50.0,0.84,0.42,0.10,0.20,0,0,0.7,0.7,0.07,+0.3,+0.3
8,Kristoffer Ajer,no NOR,DF,Brentford,24,8.5,0,1,0,0.0,0.12,0.00,0.00,,0,0,0.0,0.0,0.04,0.0,0.0
9,Manuel Akanji,ch SUI,DF,Manchester City,27,25.4,0,15,2,13.3,0.59,0.08,0.00,0.00,0,0,1.3,1.3,0.09,-1.3,-1.3
10,Nathan Aké,nl NED,DF,Manchester City,27,20.8,1,9,2,22.2,0.43,0.10,0.11,0.50,0,0,1.6,1.6,0.17,-0.6,-0.6
11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,0,0,0.3,0.3,0.17,+0.7,+0.7
12,Thiago Alcántara,es ESP,MF,Liverpool,31,13.9,0,10,1,10.0,0.72,0.07,0.00,0.00,0,0,0.4,0.4,0.05,-0.4,-0.4
13,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,11.4,4,24,10,41.7,2.10,0.87,0.17,0.40,0,0,1.9,1.9,0.08,+2.1,+2.1
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,32.5,2,40,8,20.0,1.23,0.25,0.05,0.25,0,0,2.4,2.4,0.06,-0.4,-0.4
15,Alisson,br BRA,GK,Liverpool,29,37.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
16,Dele Alli,eng ENG,MF,Everton,26,0.4,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28,27.7,11,69,20,29.0,2.49,0.72,0.16,0.55,0,0,8.0,8.0,0.12,+3.0,+3.0
18,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,16.3,9,46,20,43.5,2.83,1.23,0.17,0.40,1,1,7.0,6.2,0.13,+2.0,+1.8
