,Squad,Position,TklW#,Tkl%#,Att 3rd#,Int#,Err#,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Arsenal,2,15,7,2,19,1,38.0,568,343,238,212,118,249,509,48.9,260,362,86,276,237,805,599,23
6,Chelsea,12,2,3,4,10,2,38.0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21
18,Tottenham,8,13,11,14,13,3,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20
12,Liverpool,5,11,18,3,14,4,38.0,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,20
20,Wolves,13,10,15,17,18,5,38.0,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,19
10,Leeds United,19,1,13,1,3,6,38.0,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18
8,Everton,17,4,5,9,4,7,38.0,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17
9,Fulham,10,14,2,6,12,8,38.0,625,350,295,229,101,299,585,51.1,286,455,125,330,340,965,749,15
5,Brighton,6,16,14,5,17,9,38.0,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15
4,Brentford,9,18,20,10,11,10,38.0,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,14
2,Aston Villa,7,17,9,16,16,11,38.0,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,14
11,Leicester City,18,6,16,18,5,12,38.0,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,12
17,Southampton,20,3,8,19,1,13,38.0,713,426,377,279,57,297,611,48.6,314,542,165,377,428,1141,852,11
3,Bournemouth,15,9,19,20,7,14,38.0,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,11
14,Manchester Utd,3,7,6,13,8,15,38.0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,11
19,West Ham,14,19,10,7,2,16,38.0,608,336,290,226,92,270,562,48.0,292,415,139,276,408,1016,810,10
15,Newcastle Utd,4,12,12,12,15,17,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10
13,Manchester City,1,20,17,11,20,18,38.0,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9
7,Crystal Palace,11,5,1,8,6,19,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7
16,Nott'ham Forest,16,8,4,15,9,20,38.0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,7
