,Squad,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Def
1,Arsenal,38.0,1045,27.50,776,78,57,73,18,150,3.95,121,6,5,13,2
2,Aston Villa,38.0,751,19.76,565,50,48,38,10,84,2.21,55,2,6,12,3
3,Bournemouth,38.0,616,16.21,445,45,52,43,7,64,1.68,44,5,4,8,1
4,Brentford,38.0,702,18.47,475,99,32,45,7,98,2.58,65,8,4,8,2
5,Brighton,38.0,1075,28.29,819,73,81,63,12,115,3.03,83,3,13,9,1
6,Chelsea,38.0,859,22.61,667,66,42,42,11,68,1.79,57,3,2,2,0
7,Crystal Palace,38.0,746,19.63,497,67,56,49,18,67,1.76,43,6,6,6,2
8,Everton,38.0,735,19.34,495,84,37,54,20,59,1.55,41,5,5,2,2
9,Fulham,38.0,751,19.76,528,78,29,54,15,90,2.37,56,9,5,11,2
10,Leeds United,38.0,783,20.61,535,99,32,54,15,69,1.82,43,7,4,9,3
11,Leicester City,38.0,744,19.58,540,52,50,50,14,87,2.29,59,2,8,8,3
12,Liverpool,38.0,1046,27.53,778,85,55,75,20,129,3.39,97,9,7,8,1
13,Manchester City,38.0,1099,28.92,826,81,53,76,14,168,4.42,130,7,8,9,2
14,Manchester Utd,38.0,1051,27.66,840,58,46,63,9,99,2.61,79,3,8,5,0
15,Newcastle Utd,38.0,1008,26.53,690,110,62,77,12,106,2.79,64,6,15,10,5
16,Nott'ham Forest,38.0,593,15.61,416,59,31,38,13,54,1.42,31,5,4,11,0
17,Southampton,38.0,718,18.89,493,77,46,51,13,61,1.61,35,5,7,5,3
18,Tottenham,38.0,910,23.95,692,60,46,55,19,116,3.05,84,7,7,9,2
19,West Ham,38.0,817,21.50,586,81,40,60,15,67,1.76,41,6,6,8,0
20,Wolves,38.0,713,18.76,521,62,30,47,11,44,1.16,32,1,3,6,1
